Model,missing_rate,MAE
XGBoost (native),0.0,5.879
XGBoost (native),0.01,6.6411
XGBoost (native),0.05,9.9542
XGBoost (native),0.1,14.6805
XGBoost (native),0.2,23.9278
XGBoost (native),0.4,43.9996
Random Forest (native),0.0,6.0555
Random Forest (native),0.01,6.0677
Random Forest (native),0.05,6.1069
Random Forest (native),0.1,6.1535
Random Forest (native),0.2,6.2604
Random Forest (native),0.4,6.6242
Bagging (native),0.0,5.9603
Bagging (native),0.01,5.9821
Bagging (native),0.05,6.0688
Bagging (native),0.1,6.1379
Bagging (native),0.2,6.353
Bagging (native),0.4,6.9245
Linear (+imputer),0.0,5.9986
Linear (+imputer),0.01,6.135
Linear (+imputer),0.05,6.6364
Linear (+imputer),0.1,7.2712
Linear (+imputer),0.2,8.4462
Linear (+imputer),0.4,10.4685
DNN (+imputer),0.0,7.4179
DNN (+imputer),0.01,7.5489
DNN (+imputer),0.05,8.2308
DNN (+imputer),0.1,8.9126
DNN (+imputer),0.2,10.0872
DNN (+imputer),0.4,11.5936
